Model,Expected Price,Expected Launch Date
Skoda Octavia RS,50.00 55.00 Lakh,"Oct 17, 2025"
Hyundai Venue,7.90 14.00 Lakh,"Nov 4, 2025"
Tata Sierra EV,25.00 30.00 Lakh,"Nov 15, 2025"
Skoda Octavia,45 Lakh,"Oct 17, 2025"
Hyundai Venue 2025,8 Lakh,"04, 2025"
Tata Sierra,25 Lakh,"09, 2025"
BMW iX 2025,1.45 Cr,"14, 2025"
Tata Harrier,25.25 Lakh,2025
Tata Safari,14.66 25.96 Lakh,2025
Maruti Brezza 2025,8.50 Lakh,2025
Maruti Grand Vitara 3-row,14 Lakh,2025
Volkswagen Tayron,50 Lakh,2025
Hyundai Tucson 2025,30 Lakh,"17, 2025"
MG Majestor,46 Lakh,"18, 2025"
Tata Sierra EV,15 Lakh,"19, 2025"
Mahindra XUV700 Facelift,15 Lakh,"25, 2025"
Maruti e Vitara,17 22.50 Lakh,"Dec 10, 2025"
Skoda Superb 2025,50 Lakh,"Dec 13, 2025"
Audi A5,50 Lakh,Dec 2025
Audi Q6 e-tron,1 Cr,Dec 2025
Mercedes-Benz CLA Electric,65 Lakh,Dec 2025
MG 4 EV,30 Lakh,Dec 2025
Nissan Tekton,11.00 18.00 Lakh,"Apr 15, 2026"
Mahindra Bolero 2026,10.00 12.00 Lakh,"Mar 18, 2026"
Renault Duster,12.00 20.00 Lakh,"Mar 18, 2026"
