event_type,company_name,event_date,description
Bonus,TAC Infosec,2025-10-15,Bonus issue equity shares in the ratio 1:1
Stock Split,Globe International,2025-10-15,Stock split from Rs. 10 - to Rs. 5 -
Bonus,Globe International,2025-10-15,Bonus issue equity shares in the ratio 1:1 Rs. 5 -
Dividend,TCS,2025-10-15,INTERIM 11.00
Quarterly Results,Ador Welding,2025-10-15,Estimates Beat Results High Gain High Volume
Quarterly Results,Urja Global,2025-10-15,Results
Board Meeting,Panorama Studios,2025-10-15,"Bonus issue Others Inter-alia, to consider 1. Discussed the proposal for issue bonus shares to the equity shareholders the company, subject to the shareholders approval. 2. Other business matters."
Quarterly Results,Gowra Leasing,2025-10-15,Results
Quarterly Results,Axis Bank,2025-10-15,Rapid Results Results
Quarterly Results,Monolithisch,2025-10-15,Results Others To consider other business matters.
Board Meeting,Hardwyn,2025-10-15,Preferential issue shares
Quarterly Results,Continental Securities,2025-10-15,Results
Quarterly Results,National Fittings,2025-10-15,Results
Quarterly Results,Yash Chemex,2025-10-15,Results
Board Meeting,MPK Steels I,2025-10-15,Others
Quarterly Results,HDB Financial Services,2025-10-15,Results Interim Dividend
Quarterly Results,HDFC AMC,2025-10-15,Bonus Issue Results
Quarterly Results,Space Incubatrics,2025-10-15,Results
Quarterly Results,Amal,2025-10-15,Results High Loss High Volume
Quarterly Results,Emerald Finance,2025-10-15,Results
Quarterly Results,Delta Corp,2025-10-15,Results
Quarterly Results,Ksolves,2025-10-15,Results Interim Dividend
