company_name,headquarters_location,primary_business_focus
Anysphere,San Francisco,Coding tools
Mercor,San Francisco,AI-powered hiring platform
Thinking Machine Labs,San Francisco,Research company
World Labs,San Francisco,Spatial intelligence
Abridge,Francisco,Notetaker for doctors
Anthropic,Francisco,Model developer
Baseten,Francisco,App deployment software
Captions,New York,Video editor
Clay,New York,Go-to-market tools
Coactive,Jose,Data labeling software
Cohere,Toronto,Model developer
Crusoe,Francisco,Infrastructure
Databricks,Francisco,Data storage analytics
DeepL,Cologne,Language translation service
ElevenLabs,London,Voice generation software
Figure,Jose,Humanoid robots
Fireworks,Redwood City,App development software
Glean,Palo Alto,Enterprise search engine
Harvey,Francisco,Legal automation software
Hebbia,New York,General purpose finance legal
Hugging Face,New York,Open-source library models
Lambda,Jose,Cloud provider
LangChain,Francisco,App development tools
Luminance,Cambridge,Enterprise contract automation
Midjourney,Francisco,Image generation service
Mistral,Paris,Open source model developer
Notion,Francisco,Productivity software
OpenAI,Francisco,Model developer
OpenEvidence,Cambridge,ChatGPT doctors
Perplexity,Francisco,Search engine
